TM 001,Grass Pledge
TM 002,Grass Pledge
TM 003,Grass Pledge
TM 004,Grass Pledge
TM 005,Grass Pledge
TM 006,Grass Pledge
TM 007,Grass Pledge
TM 008,Grass Pledge
TM 009,Grass Pledge
TM 010,Grass Pledge
TM 011,Grass Pledge
TM 012,Grass Pledge
TM 013,Grass Pledge
TM 014,Grass Pledge
TM 015,Grass Pledge
TM 016,Grass Pledge
TM 017,Grass Pledge
TM 018,Grass Pledge
TM 019,Grass Pledge
TM 020,Grass Pledge
TM 021,Grass Pledge
TM 022,Grass Pledge
TM 023,Grass Pledge
TM 024,Grass Pledge
TM 025,Grass Pledge
TM 026,Grass Pledge
TM 027,Grass Pledge
TM 028,Grass Pledge
TM 029,Grass Pledge
TM 030,Grass Pledge
TM 031,Grass Pledge
TM 032,Grass Pledge
TM 033,Grass Pledge
TM 034,Grass Pledge
TM 035,Grass Pledge
TM 036,Grass Pledge
TM 037,Grass Pledge
TM 038,Grass Pledge
TM 039,Grass Pledge
TM 040,Grass Pledge
TM 041,Grass Pledge
TM 042,Grass Pledge
TM 043,Grass Pledge
TM 044,Grass Pledge
TM 045,Grass Pledge
TM 046,Grass Pledge
TM 047,Grass Pledge
TM 048,Grass Pledge
TM 049,Grass Pledge
TM 050,Grass Pledge
TM 051,Grass Pledge
TM 052,Grass Pledge
TM 053,Grass Pledge
TM 054,Grass Pledge
TM 055,Grass Pledge
TM 056,Grass Pledge
TM 057,Grass Pledge
TM 058,Grass Pledge
TM 059,Grass Pledge
TM 060,Grass Pledge
TM 061,Grass Pledge
TM 062,Grass Pledge
TM 063,Grass Pledge
TM 064,Grass Pledge
TM 065,Grass Pledge
TM 066,Grass Pledge
TM 067,Grass Pledge
TM 068,Grass Pledge
TM 069,Grass Pledge
TM 070,Grass Pledge
TM 071,Grass Pledge
TM 072,Grass Pledge
TM 073,Grass Pledge
TM 074,Grass Pledge
TM 075,Grass Pledge
TM 076,Grass Pledge
TM 077,Grass Pledge
TM 078,Grass Pledge
TM 079,Grass Pledge
TM 080,Grass Pledge
TM 081,Grass Pledge
TM 082,Grass Pledge
TM 083,Grass Pledge
TM 084,Grass Pledge
TM 085,Grass Pledge
TM 086,Grass Pledge
TM 087,Grass Pledge
TM 088,Grass Pledge
TM 089,Grass Pledge
TM 090,Grass Pledge
TM 091,Grass Pledge
TM 092,Grass Pledge
TM 093,Grass Pledge
TM 094,Grass Pledge
TM 095,Grass Pledge
TM 096,Grass Pledge
TM 097,Grass Pledge
TM 098,Grass Pledge
TM 099,Grass Pledge
TM 100,Grass Pledge
HM 001,Grass Pledge
HM 002,Grass Pledge
HM 003,Grass Pledge
HM 004,Grass Pledge
HM 005,Grass Pledge
HM 006,Grass Pledge
HM 007,Grass Pledge
HM 008,Grass Pledge
Pledges,Grass Pledge
Pledges,Fire Pledge
Pledges,Water Pledge
Ultimates,Frenzy Plant
Ultimates,Blast Burn
Ultimates,Hydro Cannon
Draco Meteor,Draco Meteor
Dragon Ascent,Dragon Ascent
